Product_Code,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,MIN,MAX,Normalized 0,Normalized 1,Normalized 2,Normalized 3,Normalized 4,Normalized 5,Normalized 6,Normalized 7,Normalized 8,Normalized 9,Normalized 10,Normalized 11,Normalized 12,Normalized 13,Normalized 14,Normalized 15,Normalized 16,Normalized 17,Normalized 18,Normalized 19,Normalized 20,Normalized 21,Normalized 22,Normalized 23,Normalized 24,Normalized 25,Normalized 26,Normalized 27,Normalized 28,Normalized 29,Normalized 30,Normalized 31,Normalized 32,Normalized 33,Normalized 34,Normalized 35,Normalized 36,Normalized 37,Normalized 38,Normalized 39,Normalized 40,Normalized 41,Normalized 42,Normalized 43,Normalized 44,Normalized 45,Normalized 46,Normalized 47,Normalized 48,Normalized 49,Normalized 50,Normalized 51,,
P1,11.00 ,12.00 ,10.00 ,8.00 ,13.00 ,12.00 ,14.00 ,21.00 ,6.00 ,14.00 ,11.00 ,14.00 ,16.00 ,9.00 ,9.00 ,9.00 ,14.00 ,9.00 ,3.00 ,12.00 ,5.00 ,11.00 ,7.00 ,12.00 ,5.00 ,9.00 ,7.00 ,10.00 ,5.00 ,11.00 ,7.00 ,10.00 ,12.00 ,6.00 ,5.00 ,14.00 ,10.00 ,9.00 ,12.00 ,17.00 ,7.00 ,11.00 ,4.00 ,7.00 ,8.00 ,10.00 ,12.00 ,3.00 ,7.00 ,6.00 ,5.00 ,10.00 ,3.00 ,21.00 ,0.44 ,0.50 ,0.39 ,0.28 ,0.56 ,0.50 ,0.61 ,1.00 ,0.17 ,0.61 ,0.44 ,0.61 ,0.72 ,0.33 ,0.33 ,0.33 ,0.61 ,0.33 ,0.00 ,0.50 ,0.11 ,0.44 ,0.22 ,0.50 ,0.11 ,0.33 ,0.22 ,0.39 ,0.11 ,0.44 ,0.22 ,0.39 ,0.50 ,0.17 ,0.11 ,0.61 ,0.39 ,0.33 ,0.50 ,0.78 ,0.22 ,0.44 ,0.06 ,0.22 ,0.28 ,0.39 ,0.50 ,0.00 ,0.22 ,0.17 ,0.11 ,0.39 ,9.80 ,0.37 
P2,7.00 ,6.00 ,3.00 ,2.00 ,7.00 ,1.00 ,6.00 ,3.00 ,3.00 ,3.00 ,2.00 ,2.00 ,6.00 ,2.00 ,0.00 ,6.00 ,2.00 ,7.00 ,7.00 ,9.00 ,4.00 ,7.00 ,2.00 ,4.00 ,5.00 ,3.00 ,5.00 ,8.00 ,5.00 ,5.00 ,3.00 ,1.00 ,3.00 ,2.00 ,3.00 ,10.00 ,5.00 ,2.00 ,7.00 ,3.00 ,2.00 ,5.00 ,2.00 ,4.00 ,5.00 ,1.00 ,1.00 ,4.00 ,5.00 ,1.00 ,6.00 ,0.00 ,0.00 ,10.00 ,0.70 ,0.60 ,0.30 ,0.20 ,0.70 ,0.10 ,0.60 ,0.30 ,0.30 ,0.30 ,0.20 ,0.20 ,0.60 ,0.20 ,0.00 ,0.60 ,0.20 ,0.70 ,0.70 ,0.90 ,0.40 ,0.70 ,0.20 ,0.40 ,0.50 ,0.30 ,0.50 ,0.80 ,0.50 ,0.50 ,0.30 ,0.10 ,0.30 ,0.20 ,0.30 ,1.00 ,0.50 ,0.20 ,0.70 ,0.30 ,0.20 ,0.50 ,0.20 ,0.40 ,0.50 ,0.10 ,0.10 ,0.40 ,0.50 ,0.10 ,0.60 ,0.00 ,4.08 ,0.40 
P3,7.00 ,11.00 ,8.00 ,9.00 ,10.00 ,8.00 ,7.00 ,13.00 ,12.00 ,6.00 ,14.00 ,9.00 ,4.00 ,7.00 ,12.00 ,8.00 ,7.00 ,11.00 ,10.00 ,7.00 ,7.00 ,13.00 ,11.00 ,8.00 ,10.00 ,8.00 ,14.00 ,5.00 ,3.00 ,13.00 ,11.00 ,9.00 ,7.00 ,8.00 ,7.00 ,9.00 ,6.00 ,12.00 ,12.00 ,9.00 ,3.00 ,5.00 ,6.00 ,14.00 ,5.00 ,5.00 ,7.00 ,8.00 ,14.00 ,8.00 ,8.00 ,7.00 ,3.00 ,14.00 ,0.36 ,0.73 ,0.45 ,0.55 ,0.64 ,0.45 ,0.36 ,0.91 ,0.82 ,0.27 ,1.00 ,0.55 ,0.09 ,0.36 ,0.82 ,0.45 ,0.36 ,0.73 ,0.64 ,0.36 ,0.36 ,0.91 ,0.73 ,0.45 ,0.64 ,0.45 ,1.00 ,0.18 ,0.00 ,0.91 ,0.73 ,0.55 ,0.36 ,0.45 ,0.36 ,0.55 ,0.27 ,0.82 ,0.82 ,0.55 ,0.00 ,0.18 ,0.27 ,1.00 ,0.18 ,0.18 ,0.36 ,0.45 ,1.00 ,0.45 ,0.45 ,0.36 ,8.76 ,0.52 
P4,12.00 ,8.00 ,13.00 ,5.00 ,9.00 ,6.00 ,9.00 ,13.00 ,13.00 ,11.00 ,8.00 ,4.00 ,5.00 ,4.00 ,15.00 ,7.00 ,11.00 ,9.00 ,15.00 ,4.00 ,6.00 ,7.00 ,11.00 ,7.00 ,9.00 ,6.00 ,10.00 ,10.00 ,2.00 ,6.00 ,7.00 ,2.00 ,5.00 ,12.00 ,5.00 ,19.00 ,8.00 ,6.00 ,8.00 ,8.00 ,12.00 ,6.00 ,9.00 ,10.00 ,3.00 ,4.00 ,6.00 ,8.00 ,14.00 ,8.00 ,7.00 ,8.00 ,2.00 ,19.00 ,0.59 ,0.35 ,0.65 ,0.18 ,0.41 ,0.24 ,0.41 ,0.65 ,0.65 ,0.53 ,0.35 ,0.12 ,0.18 ,0.12 ,0.76 ,0.29 ,0.53 ,0.41 ,0.76 ,0.12 ,0.24 ,0.29 ,0.53 ,0.29 ,0.41 ,0.24 ,0.47 ,0.47 ,0.00 ,0.24 ,0.29 ,0.00 ,0.18 ,0.59 ,0.18 ,1.00 ,0.35 ,0.24 ,0.35 ,0.35 ,0.59 ,0.24 ,0.41 ,0.47 ,0.06 ,0.12 ,0.24 ,0.35 ,0.71 ,0.35 ,0.29 ,0.35 ,8.31 ,0.37 
P5,8.00 ,5.00 ,13.00 ,11.00 ,6.00 ,7.00 ,9.00 ,14.00 ,9.00 ,9.00 ,11.00 ,18.00 ,8.00 ,4.00 ,13.00 ,8.00 ,10.00 ,15.00 ,6.00 ,13.00 ,11.00 ,6.00 ,10.00 ,9.00 ,8.00 ,12.00 ,8.00 ,9.00 ,13.00 ,3.00 ,5.00 ,3.00 ,5.00 ,5.00 ,9.00 ,7.00 ,4.00 ,8.00 ,8.00 ,5.00 ,5.00 ,8.00 ,7.00 ,11.00 ,7.00 ,12.00 ,6.00 ,6.00 ,5.00 ,11.00 ,8.00 ,9.00 ,3.00 ,18.00 ,0.33 ,0.13 ,0.67 ,0.53 ,0.20 ,0.27 ,0.40 ,0.73 ,0.40 ,0.40 ,0.53 ,1.00 ,0.33 ,0.07 ,0.67 ,0.33 ,0.47 ,0.80 ,0.20 ,0.67 ,0.53 ,0.20 ,0.47 ,0.40 ,0.33 ,0.60 ,0.33 ,0.40 ,0.67 ,0.00 ,0.13 ,0.00 ,0.13 ,0.13 ,0.40 ,0.27 ,0.07 ,0.33 ,0.33 ,0.13 ,0.13 ,0.33 ,0.27 ,0.53 ,0.27 ,0.60 ,0.20 ,0.20 ,0.13 ,0.53 ,0.33 ,0.40 ,8.41 ,0.36 
P6,3.00 ,3.00 ,2.00 ,7.00 ,6.00 ,3.00 ,8.00 ,6.00 ,6.00 ,3.00 ,1.00 ,1.00 ,5.00 ,4.00 ,3.00 ,5.00 ,3.00 ,5.00 ,10.00 ,8.00 ,4.00 ,9.00 ,7.00 ,5.00 ,4.00 ,2.00 ,1.00 ,3.00 ,2.00 ,4.00 ,0.00 ,3.00 ,2.00 ,11.00 ,2.00 ,1.00 ,4.00 ,4.00 ,3.00 ,2.00 ,5.00 ,4.00 ,4.00 ,2.00 ,4.00 ,3.00 ,6.00 ,5.00 ,3.00 ,3.00 ,10.00 ,6.00 ,0.00 ,11.00 ,0.27 ,0.27 ,0.18 ,0.64 ,0.55 ,0.27 ,0.73 ,0.55 ,0.55 ,0.27 ,0.09 ,0.09 ,0.45 ,0.36 ,0.27 ,0.45 ,0.27 ,0.45 ,0.91 ,0.73 ,0.36 ,0.82 ,0.64 ,0.45 ,0.36 ,0.18 ,0.09 ,0.27 ,0.18 ,0.36 ,0.00 ,0.27 ,0.18 ,1.00 ,0.18 ,0.09 ,0.36 ,0.36 ,0.27 ,0.18 ,0.45 ,0.36 ,0.36 ,0.18 ,0.36 ,0.27 ,0.55 ,0.45 ,0.27 ,0.27 ,0.91 ,0.55 ,4.10 ,0.38 
P7,4.00 ,8.00 ,3.00 ,7.00 ,8.00 ,7.00 ,2.00 ,3.00 ,10.00 ,3.00 ,5.00 ,2.00 ,3.00 ,4.00 ,5.00 ,3.00 ,7.00 ,10.00 ,0.00 ,3.00 ,7.00 ,5.00 ,1.00 ,5.00 ,7.00 ,5.00 ,2.00 ,4.00 ,3.00 ,1.00 ,3.00 ,2.00 ,2.00 ,4.00 ,2.00 ,6.00 ,4.00 ,5.00 ,1.00 ,3.00 ,5.00 ,8.00 ,2.00 ,3.00 ,3.00 ,6.00 ,2.00 ,6.00 ,2.00 ,4.00 ,2.00 ,1.00 ,0.00 ,10.00 ,0.40 ,0.80 ,0.30 ,0.70 ,0.80 ,0.70 ,0.20 ,0.30 ,1.00 ,0.30 ,0.50 ,0.20 ,0.30 ,0.40 ,0.50 ,0.30 ,0.70 ,1.00 ,0.00 ,0.30 ,0.70 ,0.50 ,0.10 ,0.50 ,0.70 ,0.50 ,0.20 ,0.40 ,0.30 ,0.10 ,0.30 ,0.20 ,0.20 ,0.40 ,0.20 ,0.60 ,0.40 ,0.50 ,0.10 ,0.30 ,0.50 ,0.80 ,0.20 ,0.30 ,0.30 ,0.60 ,0.20 ,0.60 ,0.20 ,0.40 ,0.20 ,0.10 ,4.20 ,0.41 
P8,8.00 ,6.00 ,10.00 ,9.00 ,6.00 ,8.00 ,7.00 ,5.00 ,10.00 ,10.00 ,8.00 ,8.00 ,15.00 ,9.00 ,5.00 ,11.00 ,10.00 ,7.00 ,13.00 ,9.00 ,12.00 ,11.00 ,5.00 ,11.00 ,11.00 ,12.00 ,3.00 ,10.00 ,12.00 ,9.00 ,9.00 ,10.00 ,8.00 ,9.00 ,8.00 ,9.00 ,15.00 ,6.00 ,7.00 ,8.00 ,3.00 ,9.00 ,10.00 ,14.00 ,4.00 ,8.00 ,8.00 ,6.00 ,7.00 ,4.00 ,9.00 ,9.00 ,3.00 ,15.00 ,0.42 ,0.25 ,0.58 ,0.50 ,0.25 ,0.42 ,0.33 ,0.17 ,0.58 ,0.58 ,0.42 ,0.42 ,1.00 ,0.50 ,0.17 ,0.67 ,0.58 ,0.33 ,0.83 ,0.50 ,0.75 ,0.67 ,0.17 ,0.67 ,0.67 ,0.75 ,0.00 ,0.58 ,0.75 ,0.50 ,0.50 ,0.58 ,0.42 ,0.50 ,0.42 ,0.50 ,1.00 ,0.25 ,0.33 ,0.42 ,0.00 ,0.50 ,0.58 ,0.92 ,0.08 ,0.42 ,0.42 ,0.25 ,0.33 ,0.08 ,0.50 ,0.50 ,8.73 ,0.47 
P9,14.00 ,9.00 ,10.00 ,7.00 ,11.00 ,15.00 ,12.00 ,7.00 ,13.00 ,12.00 ,15.00 ,15.00 ,16.00 ,10.00 ,9.00 ,9.00 ,13.00 ,8.00 ,10.00 ,18.00 ,18.00 ,17.00 ,10.00 ,16.00 ,14.00 ,10.00 ,4.00 ,7.00 ,7.00 ,10.00 ,3.00 ,13.00 ,9.00 ,7.00 ,9.00 ,8.00 ,7.00 ,9.00 ,15.00 ,8.00 ,9.00 ,8.00 ,11.00 ,5.00 ,13.00 ,3.00 ,7.00 ,7.00 ,10.00 ,12.00 ,7.00 ,13.00 ,3.00 ,18.00 ,0.73 ,0.40 ,0.47 ,0.27 ,0.53 ,0.80 ,0.60 ,0.27 ,0.67 ,0.60 ,0.80 ,0.80 ,0.87 ,0.47 ,0.40 ,0.40 ,0.67 ,0.33 ,0.47 ,1.00 ,1.00 ,0.93 ,0.47 ,0.87 ,0.73 ,0.47 ,0.07 ,0.27 ,0.27 ,0.47 ,0.00 ,0.67 ,0.40 ,0.27 ,0.40 ,0.33 ,0.27 ,0.40 ,0.80 ,0.33 ,0.40 ,0.33 ,0.53 ,0.13 ,0.67 ,0.00 ,0.27 ,0.27 ,0.47 ,0.60 ,0.27 ,0.67 ,10.35 ,0.49 
P10,22.00 ,19.00 ,19.00 ,29.00 ,20.00 ,16.00 ,26.00 ,20.00 ,24.00 ,20.00 ,31.00 ,22.00 ,23.00 ,19.00 ,15.00 ,19.00 ,22.00 ,23.00 ,20.00 ,33.00 ,16.00 ,23.00 ,23.00 ,16.00 ,25.00 ,27.00 ,12.00 ,15.00 ,15.00 ,11.00 ,14.00 ,29.00 ,23.00 ,12.00 ,16.00 ,9.00 ,23.00 ,22.00 ,15.00 ,18.00 ,13.00 ,17.00 ,14.00 ,17.00 ,11.00 ,24.00 ,13.00 ,16.00 ,18.00 ,23.00 ,18.00 ,20.00 ,9.00 ,33.00 ,0.54 ,0.42 ,0.42 ,0.83 ,0.46 ,0.29 ,0.71 ,0.46 ,0.63 ,0.46 ,0.92 ,0.54 ,0.58 ,0.42 ,0.25 ,0.42 ,0.54 ,0.58 ,0.46 ,1.00 ,0.29 ,0.58 ,0.58 ,0.29 ,0.67 ,0.75 ,0.13 ,0.25 ,0.25 ,0.08 ,0.21 ,0.83 ,0.58 ,0.13 ,0.29 ,0.00 ,0.58 ,0.54 ,0.25 ,0.38 ,0.17 ,0.33 ,0.21 ,0.33 ,0.08 ,0.63 ,0.17 ,0.29 ,0.38 ,0.58 ,0.38 ,0.46 ,19.37 ,0.43 
